nl	en	fr	de	references	usage	description
Oksaal	Rood gallery	Jubé	Lettner	AAT/Haslinghuis		Use for chancel screens surmounted by a cross or crucifix; generally found in English church architecture; Use for platforms above rood screens from which choirs sing or readings are made
Oksaal	Rood loft	Jubé	Lettner	AAT/Haslinghuis		Use for chancel screens surmounted by a cross or crucifix; generally found in English church architecture; Use for platforms above rood screens from which choirs sing or readings are made
Oksaal	Rood screen	Jubé	Lettner	AAT/Haslinghuis		Use for chancel screens surmounted by a cross or crucifix; generally found in English church architecture; Use for platforms above rood screens from which choirs sing or readings are made
Omheining	Enclosure	Clôture	Zaun	Haslinghuis		
Omwalling	Rampart	Rempart	Schutzwall	AAT/ABR		Broad embankments or mounds of earth raised as a fortification
Onbekend	Unknown	Inconnu	Unbekannt			
Onderdeur	Hatch	Puce	Untertür	AAT		Use for openings in horizontal positions, as between the decks of a ship, and for doors horizontally divided, the upper part being opened for ventilation or so that articles may be passed over the lower part
Onderdorpel	Sill	Seuil	Schwelle	Haslinghuis		
Onderslag	Girder	Soupoutre	Unterzug	AAT/Haslinghuis		
Onderslag	Supporting beam	Soupoutre	Unterzug	AAT/Haslinghuis		
Onderslagbalk	Girder	Soupoutre	Unterzug	AAT/Haslinghuis		
Onderslagbalk	Supporting beam	Soupoutre	Unterzug	AAT/Haslinghuis		
Oorlogsschip	Warship	Navire de querre	Kriegsschiff	AAT	Warcraft (Eng)	
opboeisel	bulwark	coulisses	Dollbord 			shipsterm
opboeisel	bulwark	plat-bord	Dollbord 			shipsterm
opboeisel	wash strake	coulisses	Dollbord 			shipsterm
opboeisel	wash strake	plat-bord	Dollbord 			shipsterm
opgraving	excavation	excavation	Ausgrabung			
oplanger	futtock 	allonge	Auflänger 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Oplanger (dakspar)	Furring rafter	Coyau	Auflanger	Haslinghuis		
Oplanger (dakspar)	Trimming rafter	Coyau	Auflanger	Haslinghuis		
Oplanger (dakspar)	Furring rafter	Coyau	Aufschiebling	Haslinghuis		
Oplanger (dakspar)	Trimming rafter	Coyau	Aufschiebling	Haslinghuis		
Oplanger (molenroede)	Whip	Scion	Flügelrute	Haslinghuis		
Oplanger (steigerpaal)	Upright extension	Rallonge	Verlängerungsstück	Haslinghuis		
oppervlaktebehandeling	coating 	traitement de la coque	Anstrich 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Orgel	Organ	Orgue	Orgel	AAT		Complex aerophones consisting of one or more rows of individual pipes which are made to sound by air under pressure directed from a wind-raising device and admitted to the pipes by means of valves operated from a keyboard or set of levers
Ornament	Ornament	Ornement	Ornament	AAT	Ornamentiek	Use for decorative forms that are an integral part of a building or object but are not essential to its structure. Use also for decorative objects attached to or worn by humans and animals. For objects signifying an honor bestowed upon an individual, usually worn on the person, use decorations. Regarding techniques of embellishment in general, use decoration (process).
overlap	overlap 	recouvrement des bordages	Überlappung 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
overloopdek	main deck	pont principal	Großdeck	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
overnaads	lap strake 	bordage à clin	Klinkerbau 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Paal	Pile	Pilotis	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Pilotis	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Post	Poteau	Pfahl	AAT/ABR	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Säule	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Pilotis	Säule	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
Paal	Pile	Poteau	Säule	Haslinghuis	Staander	Use for timber, steel, or precast concrete columns serving as subsurface supports for vertical loads; distinct from piers (foundation components) which are larger and are never clustered; Use for square, upright supports, usually of wood, and for similar metal elements when relatively isolated. For square uprights in classical style, and for square and rectangular masonry uprights, use piers (supporting elements); for most cylindrical uprights, and for all uprights in steel and concrete frames, use columns (architectural elements).
