nl	en	fr	de	references	usage	description
aak	barge 	barge	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	barge	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Kahn	AAT		Capacious, flat-bottomed vessels, usually intended to be pushed or towed, primarily for transporting cargo
aak	barge 	chaland	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	barge	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	chaland	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
aak	barge 	péniche	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Aanlegplaats	Landing place	Quai	Anlegeplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Anlegeplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Anlegestelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Anlegestelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Landungsplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Landungsplatz	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing place	Quai	Landungsstelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegplaats	Landing stage	Quai	Landungsstelle	AAT		Use for any of various structures built for loading or unloading goods or embarking or disembarking passengers onto and off of watercraft.
Aanlegsteiger	Landing stage	débarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	embarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	Ponton	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	débarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	embarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	Ponton	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	débarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	embarcadère	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	Ponton	Anlege	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	débarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	embarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	Ponton	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	débarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	embarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	Ponton	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	débarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	embarcadère	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	Ponton	Bootssteg	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	débarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	embarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	Ponton	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	débarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	embarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	Ponton	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	débarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	embarcadère	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	Ponton	Landungsbrücke	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	débarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	embarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Landing stage	Ponton	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	débarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	embarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	Quay	Ponton	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	débarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	embarcadère	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Aanlegsteiger	wharf	Ponton	Landungsplatz	AAT		Use, in post-Second World War contexts, for structures built generally parallel to the shoreline so that vessels may moor alongside to receive or discharge cargo or passengers; prior to the mid-20th century, may refer broadly to any such landing places. For similar loading and unloading places built to extend from the shoreline out over water, use piers (marine landings); if such places are artificial solid banks or shoreline extensions built parallel to the shoreline, use quays.
Abdij	Abbey	Abbaye	Abtei	AAT/Haslinghuis		Designates independent and canonically erected monasteries, ruled by an abbot if occupied by monks and by an abbess if occupied by nuns
Abdijkerk	Abbey church	Abbatiale	Abteikirche	AAT		Churches that form the center of an abbey or other monastic complex. They typically adjoin the cloister, are linked to the dormitory by a stairway called the night-stair, and have an assembly room or chapter house, which is often attached to the chancel at the eastern side of the cloister
Achtergevel	Back (side)	Façade postérieure	Hinterfront	AAT		
Achtergevel	Rear (side)	Façade postérieure	Hinterfront	AAT		
Achterhuis	Back aisle	Arrière-corps (de la maison)	Hinterhaus	Haslinghuis		
Achterhuis	Rear part	Arrière-corps (de la maison)	Hinterhaus	Haslinghuis		
Achterkamer	Back room	Chambre de derrière	Hinterstube	Haslinghuis		
Achterkamer	Back room	Chambre de derrière	Hinterzimmer	Haslinghuis		
achterschip	aft	l'arrière du vaisseau	Hinterschiff	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
achterschip	quarter	l'arrière du vaisseau	Hinterschiff	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
achtersteven	stern 	étambot	Achtersteven 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
achtersteven	stern 	étambot	Hintersteven	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
achterstevenplaat	prow block (stern) 	épaulure (de poupe)	Bugholz (Achterschiff) 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
affuit, rolpaard	carriage	affût	Lafette	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Aftakking	Branch	Embranchement	Abzweigung			
afvalkuil	waste pit	fosse à déchets	Abfallgrube			
afwateringssleuf	bilge gutter 	gouttière de bouchain	Bilgerinne 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Altaar	Altar	Autel	Altar	AAT/Haslinghuis		Use for constructions upon which religious sacrifice is offered. Includes both small, tablelike fixtures and larger, free-standing, outdoor structures. For the surface at which communion is celebrated in Protestant churches, use communion tables.
Altaarstuk	Altarpiece	Retable	Altarbild	AAT		Religious images on, above, or behind the altar of a Christian church
Altviool	Viola	Violon	Viola			Type of violin
Ambachtshuis	crafts house	maison de l'artisanat	Handwerk Haus			
Andreaskruis	Crossbridging	Croix de Saint-André	Andreaskreuz	Haslinghuis		
Andreaskruis	Crossbridgings	Croix de Saint-André	Andreaskreuz	Haslinghuis		
Andreaskruis	Saint Andrew's cross	Croix de Saint-André	Andreaskreuz	Haslinghuis		
Anker	Anchor	ancre	Anker	AAT		Metal ties or plates used to fasten together timbers or masonry.
Anker	Anchor	Armature	Anker	AAT		Metal ties or plates used to fasten together timbers or masonry.
anker bolster	anchor bolster	défanse ancres	Ankerschweinsrücken	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Ankerbalk	Anchor beam	Entrait	Ankerbalken	Haslinghuis		
Ankerbalk	Anchor beam	poutre d'ancrage	Ankerbalken	Haslinghuis		
ankerstok	anchor stock	jas ancres	Ankerstock	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
apostel	knighthead	apôtre	Ohrholz	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Badding	Batten	Basting	Bohle	Haslinghuis		
Badding	Batten	madrier	Bohle	Haslinghuis		
Badding	Batten	Basting	Rähm	Haslinghuis		
Badding	Batten	madrier	Rähm	Haslinghuis		
Bak	Bin	Bac	Kasten	ABR		
Bak	Bin	coffre	Kasten	ABR		
Bak	Bin	récipient	Kasten	ABR		
Bak	Tray	Bac	Kasten	ABR		
Bak	Tray	coffre	Kasten	ABR		
Bak	Tray	récipient	Kasten	ABR		
bakboord	larboard	bâbord	Backbord 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bakboord	port	bâbord	Backbord 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bakboordzijde	larboard side	côté bâbord	Backbordseite 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bakboordzijde	port side	côté bâbord	Backbordseite 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bakdek	forecastle	gaillard d'avant	Backdeck	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Baldakijn	Baldachin	Baldaquin	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Baldakijn	Baldachin	dais	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Baldakijn	Canopy	Baldaquin	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Baldakijn	Canopy	Baldaquin	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Baldakijn	Dais	dais	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Baldakijn	Dais	dais	Baldachin	AAT/Haslinghuis		Use for canopies over such features as thrones, altars, tombs, or doorways; may be suspended, projecting, or free-standing. For roofed structures with columns built over altars, use ciboria (structures).
Balk	Beam	Poutre	Balken	AAT/ABR/Haslinghuis		Structural members whose primary function is to carry transverse loads; Parallel beams used to support floor and ceiling loads and supported in turn by larger beams, girders, bearing walls, or other members. 
Balk	Joist	Poutre	Balken	AAT/ABR/Haslinghuis		
balk	beam 	barrot	Balken 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Balkkop	Beam end	About	Balkenende	Haslinghuis		
Balkkop	Beam end	About	Balkenköpf	Haslinghuis		
Balklaag	Floor frame	Potrage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	poutaison	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	solivage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	solivure	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	Potrage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	poutaison	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	solivage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	solivure	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Joisting	Potrage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Joisting	poutaison	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Joisting	solivage	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Joisting	solivure	Balkenlagen	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	Potrage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	poutaison	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	solivage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor frame	solivure	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	Potrage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	poutaison	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	solivage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Floor joists	solivure	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Joisting	Potrage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Joisting	poutaison	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Joisting	solivage	Gebälk	Haslinghuis	Balkenlaag	
Balklaag	Joisting	solivure	Gebälk	Haslinghuis	Balkenlaag	
balkweger	clamp	bauquière	Balkweger	New Universal Dictionary of the Marine, The Young Sea Officer's Sheet Anchor, Elements and Practice of Rigging and Seamanship, van Dale		shipsterm
Balustrade	Balustrade	Balustrade	Geländer	AAT/Haslinghuis		Parapets or low screens composed of balusters and carrying a rail or other horizontal member that is usually heavy in proportion to the balusters themselves
bank	thwart 	banc	Ducht 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
Barak	Barrack	Baraque	Baracke	Haslinghuis		
Barak	Hut	Baraque	Baracke	Haslinghuis		
Barak	Shed	Baraque	Baracke	Haslinghuis		
bark	bark, barque 	barque	Frachtkahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bark	bark, barque 	barque	Kahn	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
bark	bark, barque 	barque	Lastkahn 	Nautical Dictionary, Middelnederlands Handwoordenboek, NAVIS		shipsterm
barkas	cutter	bateaux à l'usage	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkas	cutter	chaloupe	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkas	launch	bateaux à l'usage	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkas	launch	chaloupe	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkas	longboat	bateaux à l'usage	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkas	longboat	chaloupe	Barkasse	Schepen van de Gouden Eeuw, Verzameling van 84 stuks Hollandsche schepen, Fluiten, Katten en Fregatten		shipsterm
barkentijn	barkentine	barque-goélette	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	barquentine	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	goélette	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	trois-mâts	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	barque-goélette	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	barquentine	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	goélette	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	trois-mâts	Barkantine	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	barque-goélette	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	barquentine	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	goélette	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barkentine	trois-mâts	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	barque-goélette	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
barkentijn	barquetine	barquentine	Barkschoner	Malaria en Malaise, Fluiten, Katten en Fregatten, het VOC-retourschip, Pieter van Dam's beschrijvinghe, Galle		shipsterm
